"dat","requestCount","requestGib","objectCount","objectGib","frequencyMean","zipfFittingSlope","timeSpan"
"alibabaBlock/io_traces.ns0.oracleGeneral",13800000,916.1123,4698454,764.7323,2.9371,0.6225,2653603
"alibabaBlock/io_traces.ns1.oracleGeneral",22400000,174.7092,1641397,12.0896,13.6469,1.2193,2671705
"alibabaBlock/io_traces.ns10.oracleGeneral",2756600000,28727.6115,7360947,82.1343,374.4899,1.2458,2678336
"alibabaBlock/io_traces.ns11.oracleGeneral",10200000,134.7512,4358641,58.5268,2.3402,0.5798,2654232
"alibabaBlock/io_traces.ns12.oracleGeneral",46200000,1830.2839,4567366,314.7258,10.1152,1.0193,2678374
"alibabaBlock/io_traces.ns13.oracleGeneral",14600000,485.1629,8757556,356.9717,1.6671,0.4418,2656546
"alibabaBlock/io_traces.ns14.oracleGeneral",12800000,517.8971,2129705,157.2987,6.0102,0.9978,2669655
"alibabaBlock/io_traces.ns15.oracleGeneral",10600000,138.648,4605035,60.6214,2.3018,0.577,2672411
"alibabaBlock/io_traces.ns2.oracleGeneral",25600000,459.1041,1597132,40.0088,16.0287,1.2066,2605863
"alibabaBlock/io_traces.ns3.oracleGeneral",23800000,542.4134,3158687,24.3029,7.5348,0.3432,2646345
"alibabaBlock/io_traces.ns4.oracleGeneral",1576000000,6973.1054,49827717,354.7865,31.629,0.3341,2677971
"alibabaBlock/io_traces.ns5.oracleGeneral",22400000,173.4979,1680780,12.539,13.3271,1.2227,2669819
"alibabaBlock/io_traces.ns6.oracleGeneral",16400000,402.2491,1622503,14.6136,10.1078,0.5095,2639711
"alibabaBlock/io_traces.ns8.oracleGeneral",37400000,320.781,1497761,13.5206,24.9706,1.0472,2671802
"alibabaBlock/io_traces.ns9.oracleGeneral",22600000,339.3435,720205,13.7936,31.38,1.1318,2666969
"fiu/fiu_casa-110108-112108.oracleGeneral",8973201,0.0709,325844,0.003,27.5383,1.3348,767795
"fiu/fiu_homes-110108-112108.oracleGeneral",17836701,0.1621,1684407,0.0347,10.5893,1.1377,1814399
"fiu/fiu_ikki-110108-112108.oracleGeneral",5256676,0.0473,948257,0.0143,5.5435,1.0193,1727979
"fiu/fiu_webmail+online.cs.fiu.edu-110108-113008.oracleGeneral",14294158,0.1065,549174,0.0041,26.0285,1.3805,1818000
"fiu/fiu_webmail.cs.fiu.edu-110108-113008.oracleGeneral",7795815,0.0581,488667,0.0036,15.9532,1.346,1731590
"fiu/fiu_webusers-030409-033109.oracleGeneral",7726138,0.0605,93874,0.0013,82.3033,1.2798,2415595
"metaCDN/meta_reag.oracleGeneral",45623306,1171620.9292,12262537,168732.5662,3.7205,0.6445,691282
"metaCDN/meta_rnha.oracleGeneral",96680668,4182554.0129,35040280,712173.1353,2.7591,0.6871,691217
"metaCDN/meta_rprn.oracleGeneral",88470732,3446194.2624,29030282,682300.6673,3.0475,0.6921,691269
"metaKV/meta_kvcache_traces_1.oracleGeneral.bin",335173084,189.259,16984531,15.1428,19.734,1.1639,86416
"metaStorage/block_traces_1.oracleGeneral.bin",13245186,42140.392,6014438,24814.2691,2.2022,0.6159,86517
"metaStorage/block_traces_2.oracleGeneral.bin",13452066,44080.1938,6174083,26806.7636,2.1788,0.6135,86521
"metaStorage/block_traces_3.oracleGeneral.bin",13956157,46294.1019,6763511,29343.4317,2.0634,0.5985,86518
"metaStorage/block_traces_4.oracleGeneral.bin",14262406,47042.7136,6815503,29303.5201,2.0926,0.6012,86516
"metaStorage/block_traces_5.oracleGeneral.bin",14556172,48259.7708,7110414,30615.023,2.0472,0.5914,86516
"twitter/cluster52.oracleGeneral",13426570607,2067.6507,251815444,22.932,53.3191,1.3436,554161
"wiki/wiki_2016u.oracleGeneral",2803498585,91988.3354,37197832,5401.0001,75.3673,1.5936,604799
"wiki/wiki_2019t.oracleGeneral",207646002,6454.1629,18394481,400.3861,11.2885,1.1499,1814399
"wiki/wiki_2019u.oracleGeneral",2655612611,101207.0475,49707463,7659.0289,53.4248,1.6212,1814399